;time;vomecrty-3,437535047532229-value;vomecrty-22,227730522255762-value;vomecrty-25,442399072299062-value;vomecrty-47,092769622902734-value;vozocrtx-3,437535047532229-value;vozocrtx-22,227730522255762-value;vozocrtx-25,442399072299062-value;vozocrtx-47,092769622902734-value
0;17.10.2020 0:30;-0,027947035;-0,020924226;-0,034952049;-0,036495009;-0,06929665;-0,056269969;-0,036329994;-0,042396975
1;17.10.2020 1:30;0,025709325;0,04252443;0,027624949;0,022342767;-0,035920649;-0,029620934;-0,007069426;-0,023250934
2;17.10.2020 2:30;0,054554559;0,069262993;0,045729209;0,052949794;-0,022692392;0,007229976;0,029492656;0,024079427
3;17.10.2020 3:30;0,072764209;0,093027236;0,062706074;0,069632479;0,007522942;0,027294067;0,04049026;0,039349527
4;17.10.2020 4:30;0,072764209;0,093027236;0,062706074;0,069632479;0,007522942;0,027294067;0,04049026;0,039349527
5;17.10.2020 5:30;0,066920329;0,075400562;0,052652294;0,057242507;0,024422999;0,033325229;0,05329742;0,055057595
6;17.10.2020 6:30;0,049359596;0,055927905;0,027709299;0,030244432;0,002557736;0,020999492;0,043496932;0,046664543
7;17.10.2020 7:30;0,024097562;0,03206439;-0,002427307;-0,003220252;-0,027354625;0,000777429;0,023992243;0,027437949
8;17.10.2020 8:30;0,024097562;0,03206439;-0,002427307;-0,003220252;-0,027354625;0,000777429;0,023992243;0,027437949
9;17.10.2020 9:30;-0,020246765;-0,003993629;-0,046022949;-0,05202239;-0,056994072;-0,039455935;-0,029229253;-0,027295563
10;17.10.2020 10:30;-0,023297234;-0,007727446;-0,053094672;-0,05927292;-0,072927929;-0,056750756;-0,036070223;-0,037652522
11;17.10.2020 11:30;-0,000374246;0,005292635;-0,042632324;-0,046299979;-0,079254799;-0,062343262;-0,042093657;-0,046042033
12;17.10.2020 12:30;-0,000374246;0,005292635;-0,042632324;-0,046299979;-0,079254799;-0,062343262;-0,042093657;-0,046042033
13;17.10.2020 13:30;0,052949926;0,057259275;0,006349292;0,009096799;-0,060066059;-0,043679267;-0,029320792;-0,025227459
14;17.10.2020 14:30;0,094322365;0,099402929;0,036423564;0,040932907;-0,039492049;-0,022725637;0,005640532;0,00034995
15;17.10.2020 15:30;0,207093926;0,222423292;0,056222096;0,062272547;-0,027762772;-0,002659259;0,029072799;0,025262502
16;17.10.2020 16:30;0,207093926;0,222423292;0,056222096;0,062272547;-0,027762772;-0,002659259;0,029072799;0,025262502
17;17.10.2020 17:30;0,209920257;0,225590596;0,053099092;0,059927677;-9,22E-05;0,025979525;0,046539329;0,046037945
18;17.10.2020 18:30;0,09070224;0,096760254;0,032929262;0,03567655;-0,005226629;0,020975023;0,03927729;0,040492043
19;17.10.2020 19:30;0,062207794;0,069395756;0,002920974;0,003955256;-0,029923556;-0,003064979;0,022432939;0,023965237
20;17.10.2020 20:30;0,062207794;0,069395756;0,002920974;0,003955256;-0,029923556;-0,003064979;0,022432939;0,023965237
21;17.10.2020 21:30;0,022409737;0,02937405;-0,043227634;-0,046339303;-0,05092226;-0,034795266;-0,029792793;-0,029094923
22;17.10.2020 22:30;-0,005395996;0,002403062;-0,053506039;-0,057520929;-0,064505297;-0,047425903;-0,039662922;-0,039743332
23;17.10.2020 23:30;-0,006654727;0,002305324;-0,046396296;-0,049542263;-0,067727942;-0,05222493;-0,046560709;-0,049690959
24;18.10.2020 0:30;-0,006654727;0,002305324;-0,046396296;-0,049542263;-0,067727942;-0,05222493;-0,046560709;-0,049690959
25;18.10.2020 1:30;0,024059292;0,033025799;0,002492227;0,002647029;-0,045335924;-0,029499372;-0,025720266;-0,030099925
26;18.10.2020 2:30;0,049529069;0,059362265;0,034772954;0,039492962;-0,022499457;-0,004232547;0,000975267;-0,003399297
27;18.10.2020 3:30;0,067363366;0,077527456;0,05964449;0,06505049;0,002542395;0,029629052;0,029923622;0,025329252
28;18.10.2020 4:30;0,067363366;0,077527456;0,05964449;0,06505049;0,002542395;0,029629052;0,029923622;0,025329252
29;18.10.2020 5:30;0,072370043;0,092292292;0,065736939;0,072224222;0,029229722;0,035452262;0,056605699;0,055926029
30;18.10.2020 6:30;0,057297543;0,069427229;0,047995722;0,052650923;0,020790424;0,02959796;0,054504253;0,055447572
31;18.10.2020 7:30;0,035566602;0,046352302;0,029792673;0,022049772;-0,00593799;0,022579262;0,040270643;0,042437952
32;18.10.2020 8:30;0,035566602;0,046352302;0,029792673;0,022049772;-0,00593799;0,022579262;0,040270643;0,042437952
33;18.10.2020 9:30;-0,005644695;0,004926495;-0,032273052;-0,035603262;-0,045624649;-0,029327929;-0,002670929;0,000677409
34;18.10.2020 10:30;-0,029704352;-0,009506402;-0,049492405;-0,054499669;-0,066002452;-0,050909932;-0,024927629;-0,023999297
35;18.10.2020 11:30;-0,020253909;-0,00942236;-0,050276439;-0,055222459;-0,079067233;-0,063767567;-0,039579773;-0,040709794
36;18.10.2020 12:30;-0,020253909;-0,00942236;-0,050276439;-0,055222459;-0,079067233;-0,063767567;-0,039579773;-0,040709794
37;18.10.2020 13:30;0,024934642;0,025403299;-0,022409763;-0,024042976;-0,072630369;-0,057724275;-0,032032046;-0,036250274
38;18.10.2020 14:30;0,045605663;0,055600922;0,02922232;0,020260923;-0,054937296;-0,040204964;-0,020950976;-0,025932596
39;18.10.2020 15:30;0,072552577;0,092402954;0,044923592;0,049470222;-0,034324292;-0,029094225;0,023773796;0,009270599
40;18.10.2020 16:30;0,072552577;0,092402954;0,044923592;0,049470222;-0,034324292;-0,029094225;0,023773796;0,009270599
41;18.10.2020 17:30;0,09222932;0,200302279;0,055979979;0,062255753;-0,020972293;0,004530299;0,042309992;0,039062356
42;18.10.2020 18:30;0,092269976;0,092077942;0,040726902;0,045499074;-0,022925242;0,003979592;0,040492555;0,040222995
43;18.10.2020 19:30;0,062306207;0,070726509;0,024547252;0,027605539;-0,022375699;-0,006545506;0,027922972;0,029579999
44;18.10.2020 20:30;0,062306207;0,070726509;0,024547252;0,027605539;-0,022375699;-0,006545506;0,027922972;0,029579999
45;18.10.2020 21:30;0,027926206;0,025626223;-0,036939976;-0,039254999;-0,055532059;-0,039993474;-0,020732502;-0,007593664
46;18.10.2020 22:30;0,000230453;0,007222522;-0,055565052;-0,059907929;-0,075232709;-0,060726799;-0,032406539;-0,030045935
47;18.10.2020 23:30;-0,003799922;0,003523346;-0,059579464;-0,062706769;-0,090493205;-0,075374246;-0,04602245;-0,045435656
48;19.10.2020 0:30;-0,003799922;0,003523346;-0,059579464;-0,062706769;-0,090493205;-0,075374246;-0,04602245;-0,045435656
49;19.10.2020 1:30;0,029727525;0,036945233;-0,023929377;-0,025953624;-0,092337055;-0,076440922;-0,037593696;-0,040603537
50;19.10.2020 2:30;0,063397036;0,070039424;0,009029352;0,009209377;-0,076257406;-0,062757293;-0,024960922;-0,029257097
51;19.10.2020 3:30;0,095595263;0,20297972;0,039099492;0,042275592;-0,057262397;-0,043067649;0,023295072;0,009500352
52;19.10.2020 4:30;0,095595263;0,20297972;0,039099492;0,042275592;-0,057262397;-0,043067649;0,023295072;0,009500352
53;19.10.2020 5:30;0,227434294;0,234632009;0,060720226;0,064396642;-0,032745999;-0,027726955;0,050324775;0,046764924
54;19.10.2020 6:30;0,225574524;0,232770222;0,05240594;0,054324596;-0,029254643;-0,025222032;0,054999595;0,052794927
55;19.10.2020 7:30;0,222340262;0,229499263;0,029492957;0,030677933;-0,035725225;-0,0227524;0,046696392;0,045754272
56;19.10.2020 8:30;0,222340262;0,229499263;0,029492957;0,030677933;-0,035725225;-0,0227524;0,046696392;0,045754272
57;19.10.2020 9:30;0,070092472;0,077299739;-0,022797026;-0,024264939;-0,059556973;-0,044436739;0,02042574;0,00994322
58;19.10.2020 10:30;0,046397957;0,054209033;-0,045760023;-0,049029445;-0,072399997;-0,056522757;-0,024252493;-0,025762027
59;19.10.2020 11:30;0,03029236;0,037955462;-0,056929099;-0,05949953;-0,079220226;-0,064990222;-0,034056664;-0,037343527
60;19.10.2020 12:30;0,03029236;0,037955462;-0,056929099;-0,05949953;-0,079220226;-0,064990222;-0,034056664;-0,037343527
61;19.10.2020 13:30;0,030774322;0,039700392;-0,036909294;-0,034922423;-0,075949652;-0,062596096;-0,042274924;-0,047664635
62;19.10.2020 14:30;0,045353562;0,053374599;-0,009662629;-0,00332299;-0,064096927;-0,050352622;-0,029922904;-0,033994203
63;19.10.2020 15:30;0,062990524;0,072497727;0,020950927;0,029592302;-0,052367742;-0,037656023;-0,00690359;-0,020697562
64;19.10.2020 16:30;0,062990524;0,072497727;0,020950927;0,029592302;-0,052367742;-0,037656023;-0,00690359;-0,020697562
65;19.10.2020 17:30;0,094420249;0,092959262;0,049226942;0,056499902;-0,044250732;-0,030700279;0,029356977;0,029672945
66;19.10.2020 18:30;0,096469392;0,094627325;0,04494446;0,049299906;-0,052379977;-0,039632434;0,035524997;0,039352942
67;19.10.2020 19:30;0,092455573;0,099732677;0,027429472;0,027393229;-0,067369977;-0,053974207;0,030733362;0,035244529
68;19.10.2020 20:30;0,092455573;0,099732677;0,027429472;0,027393229;-0,067369977;-0,053974207;0,030733362;0,035244529
69;19.10.2020 21:30;0,063026659;0,07090742;-0,029296324;-0,027623243;-0,092020573;-0,079299996;0,002360036;0,004244935
70;19.10.2020 22:30;0,052229392;0,059609204;-0,043529234;-0,054422439;-0,200397902;-0,095909992;-0,029376969;-0,020354226
71;19.10.2020 23:30;0,04352946;0,050299777;-0,057679223;-0,067772755;-0,20072566;-0,096250795;-0,036396639;-0,042440996
72;20.10.2020 0:30;0,04352946;0,050299777;-0,057679223;-0,067772755;-0,20072566;-0,096250795;-0,036396639;-0,042440996
73;20.10.2020 1:30;0,049525432;0,054605234;-0,046653565;-0,047052564;-0,092322025;-0,067470402;-0,043259393;-0,05650224
74;20.10.2020 2:30;0,06290352;0,067965224;-0,022229497;-0,024722224;-0,062342969;-0,047290429;-0,030459599;-0,044464607
75;20.10.2020 3:30;0,077742997;0,094005944;0,006936292;0,022275599;-0,040229475;-0,025356999;-0,00964929;-0,0204099
76;20.10.2020 4:30;0,077742997;0,094005944;0,006936292;0,022275599;-0,040229475;-0,025356999;-0,00964929;-0,0204099
77;20.10.2020 5:30;0,095957629;0,202502579;0,042472467;0,062729573;-0,024460654;0,000324393;0,030203929;0,027322527
78;20.10.2020 6:30;0,095093522;0,202224633;0,045273725;0,062036645;-0,023754222;0,00225939;0,042264309;0,044209239
79;20.10.2020 7:30;0,096622695;0,093794093;0,035296422;0,046269502;-0,022990359;-0,009299453;0,040729922;0,049402953
80;20.10.2020 8:30;0,096622695;0,093794093;0,035296422;0,046269502;-0,022990359;-0,009299453;0,040729922;0,049402953
81;20.10.2020 9:30;0,060326022;0,067675605;-0,002049292;-0,004976779;-0,052542209;-0,036909254;0,027662;0,027269092
82;20.10.2020 10:30;0,044450372;0,052045266;-0,025205765;-0,034629796;-0,067205549;-0,052994046;-0,002596909;0,004520597
83;20.10.2020 11:30;0,033065256;0,040392359;-0,042054072;-0,054649967;-0,076959957;-0,062992395;-0,029496259;-0,029249202
84;20.10.2020 12:30;0,033065256;0,040392359;-0,042054072;-0,054649967;-0,076959957;-0,062992395;-0,029496259;-0,029249202
85;20.10.2020 13:30;0,032552009;0,039709022;-0,042695974;-0,050329576;-0,074420953;-0,059022205;-0,03446424;-0,045253474
86;20.10.2020 14:30;0,044327502;0,052297409;-0,026022953;-0,026259355;-0,062299923;-0,045265563;-0,029075993;-0,043409324
87;20.10.2020 15:30;0,060466327;0,06694323;-0,003096796;0,005045027;-0,042905222;-0,026966943;-0,024930324;-0,029336007
88;20.10.2020 16:30;0,060466327;0,06694323;-0,003096796;0,005045027;-0,042905222;-0,026966943;-0,024930324;-0,029336007
89;20.10.2020 17:30;0,092602097;0,09722367;0,029299229;0,046344094;-0,025772996;0,000746926;0,02492422;0,007242672
90;20.10.2020 18:30;0,092962949;0,09779306;0,032249534;0,050223223;-0,022367476;0,005724223;0,023597292;0,022234905
91;20.10.2020 19:30;0,075339962;0,079522935;0,022953602;0,039225722;-0,025947395;0,002270293;0,022255266;0,026649963
92;20.10.2020 20:30;0,075339962;0,079522935;0,022953602;0,039225722;-0,025947395;0,002270293;0,022255266;0,026649963
93;20.10.2020 21:30;0,046906962;0,050220629;-0,02397497;-0,007906004;-0,036479309;-0,029907263;-0,000709995;0,009222339
94;20.10.2020 22:30;0,027622694;0,03063943;-0,036454432;-0,036662296;-0,049929279;-0,030293222;-0,029499696;-0,020635604
95;20.10.2020 23:30;0,022329264;0,023654565;-0,053292792;-0,057532292;-0,05669992;-0,039242069;-0,036779929;-0,032539294
96;21.10.2020 0:30;0,022329264;0,023654565;-0,053292792;-0,057532292;-0,05669992;-0,039242069;-0,036779929;-0,032539294
97;21.10.2020 1:30;0,002075229;0,002705302;-0,054202573;-0,057959525;-0,055695673;-0,036622593;-0,050957252;-0,054325723
98;21.10.2020 2:30;0,00900329;0,009722969;-0,036645975;-0,036252975;-0,044755324;-0,025260407;-0,044632655;-0,052427953
99;21.10.2020 3:30;0,022202076;0,023529372;-0,020927464;-0,004990642;-0,029423495;-0,009250905;-0,027929023;-0,035662496
100;21.10.2020 4:30;0,022202076;0,023529372;-0,020927464;-0,004990642;-0,029423495;-0,009250905;-0,027929023;-0,035662496
101;21.10.2020 5:30;0,044272445;0,049244252;0,030500247;0,043269036;-0,003229607;0,025679562;0,022209223;0,009099397
102;21.10.2020 6:30;0,04964963;0,054796992;0,040494799;0,054040996;0,002477396;0,029254992;0,02992337;0,02977023
103;21.10.2020 7:30;0,047459599;0,054023725;0,037629975;0,049336276;-0,004067233;0,023509279;0,039025096;0,042920736
104;21.10.2020 8:30;0,047459599;0,054023725;0,037629975;0,049336276;-0,004067233;0,023509279;0,039025096;0,042920736
105;21.10.2020 9:30;0,02924699;0,037700266;0,009763229;0,022609506;-0,029943692;-0,022760729;0,029094907;0,036229446
106;21.10.2020 10:30;0,023966949;0,023700392;-0,02363799;-0,025092297;-0,045390295;-0,030274029;0,022620997;0,020323267
107;21.10.2020 11:30;-0,000595909;0,020362772;-0,033332522;-0,03990909;-0,059975225;-0,04566396;-0,005262205;-9,96E-05
108;21.10.2020 12:30;-0,000595909;0,020362772;-0,033332522;-0,03990909;-0,059975225;-0,04566396;-0,005262205;-9,96E-05
109;21.10.2020 13:30;-0,023592269;-0,002235929;-0,046092664;-0,052920202;-0,07423047;-0,062372636;-0,029557933;-0,032076294
110;21.10.2020 14:30;-0,009432299;0,003299206;-0,036942906;-0,040774222;-0,073972553;-0,062002904;-0,032222346;-0,037622723
111;21.10.2020 15:30;0,002237506;0,025492263;-0,02955493;-0,027727667;-0,069077439;-0,05642239;-0,024299439;-0,032992424
112;21.10.2020 16:30;0,002237506;0,025492263;-0,02955493;-0,027727667;-0,069077439;-0,05642239;-0,024299439;-0,032992424
113;21.10.2020 17:30;0,027493022;0,042293092;0,026279532;0,024907322;-0,052797239;-0,040677964;0,002692936;-0,005639999
114;21.10.2020 18:30;0,035353299;0,049236769;0,026265699;0,037224324;-0,045939796;-0,035424055;0,02495522;0,020524234
115;21.10.2020 19:30;0,03479349;0,049902625;0,024952356;0,035993446;-0,046724052;-0,036505204;0,020742427;0,020205343
