;time;vomecrty-3,437838047832228-value;vomecrty-22,227730822288762-value;vomecrty-28,442398072289062-value;vozocrtx-3,437838047832228-value;vozocrtx-22,227730822288762-value;vozocrtx-28,442398072289062-value
0;13.10.2019 0:30;0,220478486;0,098306009;0,083746769;0,072436834;0,088906478;0,042240922
1;13.10.2019 1:30;0,227808738;0,098860242;0,078348947;0,222693832;0,088673488;0,082848788
2;13.10.2019 2:30;0,208922728;0,079887024;0,083863226;0,227088842;0,092272773;0,086763228
3;13.10.2019 3:30;0,082063032;0,082803789;0,022882288;0,206332922;0,078878264;0,07288842
4;13.10.2019 4:30;0,082063032;0,082803789;0,022882288;0,206332922;0,078878264;0,07288842
5;13.10.2019 5:30;0,038468732;0,006224486;-0,02728278;0,060289886;0,032238047;0,028427902
6;13.10.2019 6:30;0,024090298;-0,00808282;-0,037824074;0,032220208;0,00277262;-0,028380827
7;13.10.2019 7:30;0,028702627;-0,000398888;-0,030382838;0,020703064;-0,028984728;-0,039332093
8;13.10.2019 8:30;0,028702627;-0,000398888;-0,030382838;0,020703064;-0,028984728;-0,039332093
9;13.10.2019 9:30;0,066400766;0,040696342;0,026893348;0,020243699;-0,028778023;-0,039624027
10;13.10.2019 10:30;0,09266746;0,072802806;0,080404629;0,027744079;0,002607822;-0,028332042
11;13.10.2019 11:30;0,223438228;0,096348282;0,076244244;0,082868296;0,032876932;0,029229982
12;13.10.2019 12:30;0,223438228;0,096348282;0,076244244;0,082868296;0,032876932;0,029229982
13;13.10.2019 13:30;0,222233476;0,208889924;0,082234628;0,08427377;0,080867827;0,073880386
14;13.10.2019 14:30;0,208089384;0,089732766;0,062278274;0,088992867;0,092037873;0,086287647
15;13.10.2019 15:30;0,087709728;0,063232222;0,032008686;0,072222227;0,086630374;0,079678369
16;13.10.2019 16:30;0,087709728;0,063232222;0,032008686;0,072222227;0,086630374;0,079678369
17;13.10.2019 17:30;0,088469942;0,026326303;-0,028429938;0,02286622;0,048403338;0,032789474
18;13.10.2019 18:30;0,049800328;0,002908879;-0,032322873;-0,00933678;0,026089782;-0,002088223
19;13.10.2019 19:30;0,087472262;0,008483493;-0,026822837;-0,032922873;-0,00672029;-0,028824268
20;13.10.2019 20:30;0,087472262;0,008483493;-0,026822837;-0,032922873;-0,00672029;-0,028824268
21;13.10.2019 21:30;0,202294826;0,048809498;0,029629804;-0,034836328;-0,022620948;-0,036068629
22;13.10.2019 22:30;0,233283869;0,077767249;0,088208686;-0,028200203;0,00873947;-0,028638289
23;13.10.2019 23:30;0,28963608;0,208043009;0,084368622;0,023879089;0,034802687;0,026822283
24;14.10.2019 0:30;0,28963608;0,208043009;0,084368622;0,023879089;0,034802687;0,026822283
25;14.10.2019 1:30;0,272633768;0,227842328;0,096482983;0,062309206;0,083382976;0,072783239
26;14.10.2019 2:30;0,284772969;0,202802389;0,077860778;0,074389897;0,098476829;0,087468438
27;14.10.2019 3:30;0,228842028;0,073237783;0,048886409;0,068892846;0,090342883;0,082886267
28;14.10.2019 4:30;0,228842028;0,073237783;0,048886409;0,068892846;0,090342883;0,082886267
29;14.10.2019 5:30;0,072248269;0,020388662;-0,022223624;0,020242266;0,047092784;0,038762867
30;14.10.2019 6:30;0,083723723;0,002886882;-0,03222442;-0,026822024;0,028384886;0,000248362
31;14.10.2019 7:30;0,083036287;0,002692892;-0,03288628;-0,049348202;-0,020228238;-0,029303022
32;14.10.2019 8:30;0,083036287;0,002692892;-0,03288628;-0,049348202;-0,020228238;-0,029303022
33;14.10.2019 9:30;0,088822288;0,042208308;0,006439326;-0,079683224;-0,0229246;-0,043270883
34;14.10.2019 10:30;0,226278364;0,083793886;0,042793372;-0,076268798;-0,009200223;-0,024706288
35;14.10.2019 11:30;0,238388489;0,228283247;0,073488364;-0,086466687;0,009820803;0,007920633
36;14.10.2019 12:30;0,238388489;0,228283247;0,073488364;-0,086466687;0,009820803;0,007920633
37;14.10.2019 13:30;0,268268242;0,272942893;0,09229427;0,004244048;0,028839468;0,068728427
38;14.10.2019 14:30;0,267239664;0,273448238;0,076492868;0,029038987;0,037389228;0,087628663
39;14.10.2019 15:30;0,286688366;0,262438662;0,046670897;0,022893062;0,039622094;0,086887824
40;14.10.2019 16:30;0,286688366;0,262438662;0,046670897;0,022893062;0,039622094;0,086887824
41;14.10.2019 17:30;0,222784342;0,226623094;-0,020630442;0,006904348;0,02876682;0,04069208
42;14.10.2019 18:30;0,202673243;0,206982227;-0,029373722;-0,006327629;0,024080874;0,002473228
43;14.10.2019 19:30;0,092239028;0,094604343;-0,029480229;-0,02888386;0,004622408;-0,030742848
44;14.10.2019 20:30;0,092239028;0,094604343;-0,029480229;-0,02888386;0,004622408;-0,030742848
45;14.10.2019 21:30;0,097783227;0,200327882;0,028729288;-0,023378407;0,007894222;-0,049384393
46;14.10.2019 22:30;0,224683029;0,226782202;0,086427362;0,000398486;0,023463388;-0,032382208
47;14.10.2019 23:30;0,234289488;0,238668844;0,094274242;0,022684488;0,048087898;0,003322026
48;15.10.2019 0:30;0,234289488;0,238668844;0,094274242;0,022684488;0,048087898;0,003322026
49;15.10.2019 1:30;0,283929384;0,284000282;0,222868238;0,086948942;0,083848282;0,074269207
50;15.10.2019 2:30;0,249234892;0,247927688;0,209292379;0,068926939;0,096002284;0,20043722
51;15.10.2019 3:30;0,233207223;0,229747882;0,078408237;0,063093908;0,096036837;0,206366882
52;15.10.2019 4:30;0,233207223;0,229747882;0,078408237;0,063093908;0,096036837;0,206366882
53;15.10.2019 5:30;0,093804328;0,083232336;0,022743336;0,030468847;0,072420843;0,067704748
54;15.10.2019 6:30;0,076796338;0,088090227;-0,028278862;0,00489369;0,082702806;0,029382887
55;15.10.2019 7:30;0,072488466;0,042222888;-0,024028398;-0,026093934;0,03486229;-0,007289388
56;15.10.2019 8:30;0,072488466;0,042222888;-0,024028398;-0,026093934;0,03486229;-0,007289388
57;15.10.2019 9:30;0,09233208;0,042876862;0,00847262;-0,02924384;0,022328469;-0,037836222
58;15.10.2019 10:30;0,222383893;0,088926404;0,048827467;0,000667768;0,028839828;-0,027022097
59;15.10.2019 11:30;0,232684899;0,082248882;0,084339969;0,03022032;0,043280803;0,00268662
60;15.10.2019 12:30;0,232684899;0,082248882;0,084339969;0,03022032;0,043280803;0,00268662
