;time;iceconc-0-value
0;18.10.2018 0:30;0.0
1;18.10.2018 1:30;0.0
2;18.10.2018 2:30;0.0
3;18.10.2018 3:30;0.0
4;18.10.2018 4:30;0.0
5;18.10.2018 5:30;0.0
6;18.10.2018 6:30;0.0
7;18.10.2018 7:30;0.0
8;18.10.2018 8:30;0.0
9;18.10.2018 9:30;0.0
10;18.10.2018 10:30;0.0
11;18.10.2018 11:30;0.0
12;18.10.2018 12:30;0.0
13;18.10.2018 13:30;0.0
14;18.10.2018 14:30;0.0
15;18.10.2018 15:30;0.0
16;18.10.2018 16:30;0.0
17;18.10.2018 17:30;0.0
18;18.10.2018 18:30;0.0
19;18.10.2018 19:30;0.0
20;18.10.2018 20:30;0.0
21;18.10.2018 21:30;0.0
22;18.10.2018 22:30;0.0
23;18.10.2018 23:30;0.0
24;19.10.2018 0:30;0.0
25;19.10.2018 1:30;0.0
26;19.10.2018 2:30;0.0
27;19.10.2018 3:30;0.0
28;19.10.2018 4:30;0.0
29;19.10.2018 5:30;0.0
30;19.10.2018 6:30;0.0
31;19.10.2018 7:30;0.0
32;19.10.2018 8:30;0.0
33;19.10.2018 9:30;0.0
34;19.10.2018 10:30;0.0
35;19.10.2018 11:30;0.0
36;19.10.2018 12:30;0.0
37;19.10.2018 13:30;0.0
38;19.10.2018 14:30;0.0
39;19.10.2018 15:30;0.0
40;19.10.2018 16:30;0.0
41;19.10.2018 17:30;0.0
42;19.10.2018 18:30;0.0
43;19.10.2018 19:30;0.0
44;19.10.2018 20:30;0.0
45;19.10.2018 21:30;0.0
46;19.10.2018 22:30;0.0
47;19.10.2018 23:30;0.0
48;20.10.2018 0:30;0.0
49;20.10.2018 1:30;0.0
50;20.10.2018 2:30;0.0
51;20.10.2018 3:30;0.0
52;20.10.2018 4:30;0.0
53;20.10.2018 5:30;0.0
54;20.10.2018 6:30;0.0
55;20.10.2018 7:30;0.0
56;20.10.2018 8:30;0.0
57;20.10.2018 9:30;0.0
58;20.10.2018 10:30;0.0
59;20.10.2018 11:30;0.0
60;20.10.2018 12:30;0.0
61;20.10.2018 13:30;0.0
62;20.10.2018 14:30;0.0
63;20.10.2018 15:30;0.0
64;20.10.2018 16:30;0.0
65;20.10.2018 17:30;0.0
66;20.10.2018 18:30;0.0
67;20.10.2018 19:30;0.0
68;20.10.2018 20:30;0.0
69;20.10.2018 21:30;0.0
70;20.10.2018 22:30;0.0
71;20.10.2018 23:30;0.0
72;21.10.2018 0:30;0.0
73;21.10.2018 1:30;0.0
74;21.10.2018 2:30;0.0
75;21.10.2018 3:30;0.0
76;21.10.2018 4:30;0.0
77;21.10.2018 5:30;0.0
78;21.10.2018 6:30;0.0
79;21.10.2018 7:30;0.0
80;21.10.2018 8:30;0.0
81;21.10.2018 9:30;0.0
82;21.10.2018 10:30;0.0
83;21.10.2018 11:30;0.0
84;21.10.2018 12:30;0.0
85;21.10.2018 13:30;0.0
86;21.10.2018 14:30;0.0
87;21.10.2018 15:30;0.0
