;time;iceconc-0-value
0;17.10.2020 0:30;0.0
1;17.10.2020 1:30;0.0
2;17.10.2020 2:30;0.0
3;17.10.2020 3:30;0.0
4;17.10.2020 4:30;0.0
5;17.10.2020 5:30;0.0
6;17.10.2020 6:30;0.0
7;17.10.2020 7:30;0.0
8;17.10.2020 8:30;0.0
9;17.10.2020 9:30;0.0
10;17.10.2020 10:30;0.0
11;17.10.2020 11:30;0.0
12;17.10.2020 12:30;0.0
13;17.10.2020 13:30;0.0
14;17.10.2020 14:30;0.0
15;17.10.2020 15:30;0.0
16;17.10.2020 16:30;0.0
17;17.10.2020 17:30;0.0
18;17.10.2020 18:30;0.0
19;17.10.2020 19:30;0.0
20;17.10.2020 20:30;0.0
21;17.10.2020 21:30;0.0
22;17.10.2020 22:30;0.0
23;17.10.2020 23:30;0.0
24;18.10.2020 0:30;0.0
25;18.10.2020 1:30;0.0
26;18.10.2020 2:30;0.0
27;18.10.2020 3:30;0.0
28;18.10.2020 4:30;0.0
29;18.10.2020 5:30;0.0
30;18.10.2020 6:30;0.0
31;18.10.2020 7:30;0.0
32;18.10.2020 8:30;0.0
33;18.10.2020 9:30;0.0
34;18.10.2020 10:30;0.0
35;18.10.2020 11:30;0.0
36;18.10.2020 12:30;0.0
37;18.10.2020 13:30;0.0
38;18.10.2020 14:30;0.0
39;18.10.2020 15:30;0.0
40;18.10.2020 16:30;0.0
41;18.10.2020 17:30;0.0
42;18.10.2020 18:30;0.0
43;18.10.2020 19:30;0.0
44;18.10.2020 20:30;0.0
45;18.10.2020 21:30;0.0
46;18.10.2020 22:30;0.0
47;18.10.2020 23:30;0.0
48;19.10.2020 0:30;0.0
49;19.10.2020 1:30;0.0
50;19.10.2020 2:30;0.0
51;19.10.2020 3:30;0.0
52;19.10.2020 4:30;0.0
53;19.10.2020 5:30;0.0
54;19.10.2020 6:30;0.0
55;19.10.2020 7:30;0.0
56;19.10.2020 8:30;0.0
57;19.10.2020 9:30;0.0
58;19.10.2020 10:30;0.0
59;19.10.2020 11:30;0.0
60;19.10.2020 12:30;0.0
61;19.10.2020 13:30;0.0
62;19.10.2020 14:30;0.0
63;19.10.2020 15:30;0.0
64;19.10.2020 16:30;0.0
65;19.10.2020 17:30;0.0
66;19.10.2020 18:30;0.0
67;19.10.2020 19:30;0.0
68;19.10.2020 20:30;0.0
69;19.10.2020 21:30;0.0
70;19.10.2020 22:30;0.0
71;19.10.2020 23:30;0.0
72;20.10.2020 0:30;0.0
