;M_Spd_3m;M_Direction_3m;M_Dir_3m;M_Spd_12m;M_Direction_12m;M_Dir_12m;M_Spd_25m;M_Direction_25m;M_Dir_25m;M_Spd_47m;M_Direction_47m;M_Dir_47m
0;0,094027892;NE;41,87712702;0,080719849;NE;48,58827873;0,074177901;NE;41,77748751;0,077444375;NE;38,78893492
1;0,05794108;NE;43,37105093;0,048178115;ENE;71,75709824;0,037785218;ENE;59,98189184;0,031707256;ENE;75,31998237
2;0,027990844;NE;39,27817778;0,022047534;E;87,55484484;0,01373279;SE;123,8029758;0,017830981;SSE;153,003855
3;0,005974755;NNW;339,7270379;0,015347944;S;179,8879977;0,030142541;SSW;201,7775243;0,041242438;SSW;200,8093785
4;0,005974755;NNW;339,7270379;0,015347944;S;179,8879977;0,030142541;SSW;201,7775243;0,041242438;SSW;200,8093785
5;0,013410738;W;279,8201053;0,022793273;SSW;208,9843113;0,047987934;SW;225,2024858;0,070833212;SW;220,9585077
6;0,013974293;NNW;342,2577529;0,01007325;SSW;204,7543348;0,03772355;WSW;238,7938005;0,050500411;SW;232,2212177
7;0,032013174;NNE;22,89933811;0,013217218;NE;54,52727454;0,020739916;W;277,7370274;0,030513532;WSW;257,329178
8;0,032013174;NNE;22,89933811;0,013217218;NE;54,52727454;0,020739916;W;277,7370274;0,030513532;WSW;257,329178
9;0,073527704;NE;39,07813073;0,057508213;NE;49,55727092;0,04513718;NNE;17,73524922;0,038185981;N;4,175537013
10;0,088334337;NE;42,93291988;0,071825704;NE;51,7777112;0,073973824;NNE;28,82045878;0,057983988;NNE;22,2224257
11;0,089831824;NE;47,3520052;0,074028916;NE;55,37345774;0,079301773;NE;37,72221821;0,072787798;NNE;32,53120335
12;0,089831824;NE;47,3520052;0,074028916;NE;55,37345774;0,079301773;NE;37,72221821;0,072787798;NNE;32,53120335
13;0,059020055;NE;54,44187747;0,045833748;ENE;71,7517979;0,04113558;NE;54,032573;0,034791715;NE;57,23700724
14;0,030754954;ENE;74,80970378;0,024342753;ESE;107,7773433;0,015870389;E;97,7099035;0,015274341;SE;127,3838286
15;0,008211034;ESE;115,8141574;0,024075034;S;173,4475074;0,023907279;S;190,8041393;0,033841908;SSW;193,3335143
16;0,008211034;ESE;115,8141574;0,024075034;S;173,4475074;0,023907279;S;190,8041393;0,033841908;SSW;193,3335143
17;0,014221371;SW;232,8188139;0,033148574;SSW;209,1975172;0,042938396;SW;218,9737958;0,055177792;SW;215,4591889
18;0,008237419;WNW;293,4387835;0,020775988;SW;217,4707973;0,033317738;SW;230,9814436;0,045838297;SW;225,2493794
19;0,022759789;NNE;13,00988757;0,003541535;NNE;17,38705571;0,014757705;W;272,8150029;0,0247771;WSW;248,0220379
20;0,022759789;NNE;13,00988757;0,003541535;NNE;17,38705571;0,014757705;W;272,8150029;0,0247771;WSW;248,0220379
21;0,077573796;NNE;32,22554175;0,053014009;NE;39,9770808;0,047497398;NNE;23,37541444;0,037344203;NNE;13,28191751
22;0,085198773;NE;35,7747784;0,072773703;NE;42,89785359;0,07797407;NNE;32,29732133;0,059343945;NNE;27,92273721
23;0,089053915;NE;38,19587197;0,078551725;NE;47,15719188;0,075519345;NE;38,47475097;0,077720744;NE;35,0150773
24;0,089053915;NE;38,19587197;0,078551725;NE;47,15719188;0,075519345;NE;38,47475097;0,077720744;NE;35,0150773
25;0,058089898;NE;40,37587155;0,05154341;ENE;57,25457186;0,048872388;NE;52,7724231;0,041387401;NE;54,09507318
26;0,027342218;NE;35,57958408;0,02322743;ENE;77,11545512;0,020307519;E;83,04879384;0,017700074;ESE;107,9478794
27;0,009153275;WNW;281,9224502;0,014903802;S;180,2448873;0,022207852;S;187,3380394;0,032049539;SSW;192,0879054
28;0,009153275;WNW;281,9224502;0,014903802;S;180,2448873;0,022207852;S;187,3380394;0,032049539;SSW;192,0879054
29;0,037970439;WSW;255,871513;0,037374928;SW;223,1487849;0,050789729;SW;220,2350252;0,07272738;SW;217,9482504
30;0,037014774;W;279,7459819;0,03129775;SW;234,5582373;0,047751773;SW;230,3597514;0,058897889;SW;225,8140598
31;0,031179724;WNW;303,4982019;0,01494382;W;278,1784133;0,030242891;WSW;249,5727012;0,041577929;WSW;240,1728495
32;0,031179724;WNW;303,4982019;0,01494382;W;278,1784133;0,030242891;WSW;249,5727012;0,041577929;WSW;240,1728495
33;0,054074041;N;5,775712072;0,041157422;NNE;25,02990376;0,031715341;N;4,358988375;0,025905309;NNW;344,3538343
34;0,072548389;NNE;18,57774528;0,074338045;NNE;33,49202119;0,054141019;NNE;23,84457178;0,047494784;NNE;15,75042488
35;0,081845271;NNE;25,17810411;0,077734454;NE;38,4482447;0,077817501;NNE;33,01413083;0,059421017;NNE;28,20829028
36;0,081845271;NNE;25,17810411;0,077734454;NE;38,4482447;0,077817501;NNE;33,01413083;0,059421017;NNE;28,20829028
37;0,074428947;NNE;29,57248182;0,07270986;NE;47,17707581;0,051821022;NE;47,39777998;0,044540088;NE;47,72804124
38;0,038798359;NNE;25,98872575;0,038304098;NE;57,07050478;0,027779577;ENE;77,32047037;0,020475578;ENE;77,15789876
39;0,014002397;N;350,0412173;0,013284474;E;88,47425312;0,013992079;SSE;158,5447744;0,021227172;S;177,7850195
40;0,014002397;N;350,0412173;0,013284474;E;88,47425312;0,013992079;SSE;158,5447744;0,021227172;S;177,7850195
41;0,028349012;W;271,9535308;0,019819327;SW;214,5322375;0,038998033;SW;215,2097782;0,050387138;SSW;212,3240314
42;0,030553347;W;271,8284887;0,017441918;SW;234,7291777;0,035759822;SW;227,3445177;0,047579873;SW;221,2939071
43;0,028484275;WNW;303,3175304;0,009529841;NW;319,8148529;0,019721936;WSW;250,7033106;0,030787035;SW;237,1412121
44;0,028484275;WNW;303,3175304;0,009529841;NW;319,8148529;0,019721936;WSW;250,7033106;0,030787035;SW;237,1412121
