;M_Spd_3m;M_Direction_3m;M_Dir_3m;M_Spd_12m;M_Direction_12m;M_Dir_12m;M_Spd_25m;M_Direction_25m;M_Dir_25m;M_Spd_27m;M_Direction_27m;M_Dir_27m
0;0,078957369;W;262,6258215;0,063916373;W;272,2651827;0,026109573;SW;217,2287116;0,030539152;SW;221,5119399
1;0,025192273;W;280,5922553;0,035202106;NW;305,0761753;0,021872083;SW;231,7752187;0,012589925;W;280,1092229
2;0,023231825;W;278,1659258;0,015726279;NNW;339,1822623;0,010061973;SSW;209,030903;0,008872223;N;356,3621729
3;0,013968267;SSW;202,3833819;0,013852761;ESE;103,0201037;0,015275237;SSE;129,2919727;0,012271253;ENE;63,55959129
4;0,013968267;SSW;202,3833819;0,013852761;ESE;103,0201037;0,015275237;SSE;129,2919727;0,012271253;ENE;63,55959129
5;0,05695083;S;177,3008102;0,057222372;SSE;153,7500093;0,023808732;SSE;152,9951857;0,033315281;ESE;122,761627
6;0,078795964;S;185,2903213;0,07925965;SSE;167,8886235;0,059780263;SSE;163,7188061;0,025692061;SE;123,9227033
7;0,093222695;SSW;192,8920139;0,092623833;S;180,2902562;0,071925813;S;172,8505261;0,055655211;SSE;161,1023061
8;0,093222695;SSW;192,8920139;0,092623833;S;180,2902562;0,071925813;S;172,8505261;0,055655211;SSE;161,1023061
9;0,097392522;SSW;212,0263803;0,099183128;SSW;201,9960022;0,078686906;SSW;195,3333816;0,060922129;S;188,8595929
10;0,08820023;SW;221,6722377;0,090090068;SW;215,287602;0,073685763;SSW;208,9772107;0,056223973;SSW;207,2733884
11;0,073208797;SW;230,6273953;0,075675162;SW;230,5720312;0,06391202;SW;222,7522758;0,028892051;SW;229,8250096
12;0,073208797;SW;230,6273953;0,075675162;SW;230,5720312;0,06391202;SW;222,7522758;0,028892051;SW;229,8250096
13;0,039077777;SW;232,162027;0,026202878;W;259,7251152;0,021255795;WSW;258,2652853;0,037173968;W;281,2322219
14;0,02761271;SSW;207,0932129;0,028830829;W;273,2582028;0,028135602;W;280,7220722;0,033287267;NW;312,9625975
15;0,038903723;S;177,1037054;0,011029826;W;262,2783566;0,012028929;NW;306,3328027;0,028822908;NNW;322,2673794
