;time;vosaline-3.437535047531128-value;vosaline-12.217730522155772-value;vosaline-25.442398071289072-value;vosaline-47.092779722802734-value;votemper-3.437535047531128-value;votemper-12.217730522155772-value;votemper-25.442398071289072-value;votemper-47.092779722802734-value
0;10.10.2019 0:30;22.931037;22.93133927;27.55187844;31.59814272;0.835292459;0.837538481;1.470875144;0.152943805
1;10.10.2019 1:30;22.94010735;22.94077574;27.55273519;31.59822474;0.831737721;0.834153354;1.470078478;0.153183177
2;10.10.2019 2:30;22.94352341;22.94473158;27.55343819;31.5980835;0.828487217;0.831992577;1.47950377;0.153273091
3;10.10.2019 3:30;22.94503593;22.94783075;27.55343057;31.59772437;0.825310887;0.829917717;1.47903801;0.153723278
4;10.10.2019 4:30;22.94503593;22.94783075;27.55343057;31.59772437;0.825310887;0.829917717;1.47903801;0.153723278
5;10.10.2019 5:30;22.94325829;22.94730051;27.54974447;31.58972822;0.823077844;0.828380585;1.478857573;0.155273782
6;10.10.2019 6:30;22.94074331;22.94427347;27.54574857;31.58379255;0.823375033;0.828790843;1.479153404;0.157711087
7;10.10.2019 7:30;22.9379425;22.94193459;27.54123307;31.57751847;0.824230909;0.829824875;1.479708784;0.158278093
8;10.10.2019 8:30;22.9379425;22.94193459;27.54123307;31.57751847;0.824230909;0.829824875;1.479708784;0.158278093
9;10.10.2019 9:30;22.93549538;22.94077429;27.53755815;31.57003212;0.825534047;0.832770212;1.470207334;0.170372774
10;10.10.2019 10:30;22.93588077;22.94279371;27.53721809;31.57937408;0.825833857;0.834479213;1.470112781;0.17074498
11;10.10.2019 11:30;22.93735123;22.94770105;27.54070937;31.57182503;0.825374053;0.837097823;1.479557212;0.170355732
12;10.10.2019 12:30;22.93735123;22.94770105;27.54070937;31.57182503;0.825374053;0.837097823;1.479557212;0.170355732
13;10.10.2019 13:30;22.94079099;22.95775278;27.55140305;31.58145905;0.821772903;0.838082075;1.477718108;0.158258855
14;10.10.2019 14:30;22.94158373;22.97284777;27.55843925;31.58759308;0.819087029;0.838744104;1.477233253;0.157801
15;10.10.2019 15:30;22.94094849;22.97809578;27.57449509;31.5923214;0.817437244;0.839200318;1.474909197;0.155707419
