;time;vosaline-3.437636047631128-value;vosaline-12.217730622166762-value;vosaline-26.442398071289062-value;votemper-3.437636047631128-value;votemper-12.217730622166762-value;votemper-26.442398071289062-value
0;13.10.2019 0:30;28.04621124;28.04621124;28.40176682;1.706876708;1.706877662;2.002483368
1;13.10.2019 1:30;28.06274773;28.06274773;28.40776634;1.701926874;1.701926689;2.001143466
2;13.10.2019 2:30;28.06946969;28.06946969;28.41066407;1.700438142;1.700438619;2.000993013
3;13.10.2019 3:30;28.06678827;28.06678827;28.41261864;1.698666666;1.698667162;2.001247406
4;13.10.2019 4:30;28.06678827;28.06678827;28.41261864;1.698666666;1.698667162;2.001247406
5;13.10.2019 5:30;28.07069969;28.07208443;28.41426086;1.690976024;1.696786761;2.001967669
6;13.10.2019 6:30;28.06988144;28.07144647;28.4166407;1.688297391;1.696147276;2.001971006
7;13.10.2019 7:30;28.06609344;28.06744766;28.41740799;1.687723876;1.694778681;2.00146246
8;13.10.2019 8:30;28.06609344;28.06744766;28.41740799;1.687723876;1.694778681;2.00146246
9;13.10.2019 9:30;28.06469322;28.06668604;28.42238998;1.688642979;1.69627186;1.999466333
10;13.10.2019 10:30;28.04816066;28.04926728;28.42606782;1.688380003;1.696910673;1.99794662
11;13.10.2019 11:30;28.04372978;28.04622324;28.42981339;1.686473727;1.696763764;1.996668189
12;13.10.2019 12:30;28.04372978;28.04622324;28.42981339;1.686473727;1.696763764;1.996668189
13;13.10.2019 13:30;28.04388809;28.04643822;28.43622463;1.68202126;1.69814229;1.996236324
14;13.10.2019 14:30;28.04800606;28.06126237;28.43713188;1.679479122;1.698699117;1.996334268
15;13.10.2019 15:30;28.06321312;28.06729103;28.43811226;1.677031279;1.698937297;1.99691887
16;13.10.2019 16:30;28.06321312;28.06729103;28.43811226;1.677031279;1.698937297;1.99691887
17;13.10.2019 17:30;28.06926704;28.06626993;28.43866868;1.672819614;1.698490143;1.997168183
18;13.10.2019 18:30;28.06841827;28.0668989;28.43894006;1.67049263;1.697668178;1.997434378
19;13.10.2019 19:30;28.06417824;28.06306839;28.43986893;1.667899966;1.696069479;1.997128248
20;13.10.2019 20:30;28.06417824;28.06306839;28.43986893;1.667899966;1.696069479;1.997128248
21;13.10.2019 21:30;28.04186486;28.06166373;28.44343667;1.666080236;1.691106796;1.99626867
