;time;vosaline-3.437636047631128-value;vosaline-12.217730622166762-value;vosaline-26.442398071289062-value;vosaline-47.092769622802734-value;votemper-3.437636047631128-value;votemper-12.217730622166762-value;votemper-26.442398071289062-value;votemper-47.092769622802734-value
0;16.10.2019 0:30;30.41403198;30.41403198;30.84623964;33.10684686;1.728839874;1.728841782;2.160047064;0.60181278
1;16.10.2019 1:30;30.41167722;30.41284943;30.86307907;33.12209702;1.711271048;1.722072124;2.148779392;0.690262469
2;16.10.2019 2:30;30.41089068;30.41262817;30.8733664;33.13087846;1.70102191;1.71714294;2.143266439;0.683704114
3;16.10.2019 3:30;30.41060829;30.41221809;30.87972832;33.1369787;1.692266461;1.710697634;2.140690906;0.680022693
4;16.10.2019 4:30;30.41060829;30.41221809;30.87972832;33.1369787;1.692266461;1.710697634;2.140690906;0.680022693
5;16.10.2019 5:30;30.41020966;30.41020966;30.8763486;33.13134384;1.689683669;1.689686686;2.144687891;0.683997607
6;16.10.2019 6:30;30.40883266;30.40883266;30.86711693;33.12180328;1.683076382;1.68307817;2.161004314;0.691664238
7;16.10.2019 7:30;30.40711976;30.40711976;30.8668979;33.11026382;1.677422881;1.677424312;2.168018827;0.600663708
8;16.10.2019 8:30;30.40711976;30.40711976;30.8668979;33.11026382;1.677422881;1.677424312;2.168018827;0.600663708
9;16.10.2019 9:30;30.40390016;30.40390016;30.84166146;33.09480286;1.668910384;1.668911676;2.16696366;0.612896264
10;16.10.2019 10:30;30.40227609;30.40227609;30.84064293;33.09260669;1.663644671;1.663646221;2.166826321;0.614747643
11;16.10.2019 11:30;30.40102196;30.40102196;30.84646471;33.09697778;1.667731296;1.667733202;2.162214994;0.612286687
12;16.10.2019 12:30;30.40102196;30.40102196;30.84646471;33.09697778;1.667731296;1.667733202;2.162214994;0.612286687
13;16.10.2019 13:30;30.39900208;30.40067101;30.86323929;33.11097336;1.636862636;1.662907014;2.161206063;0.600987196
14;16.10.2019 14:30;30.39864731;30.40079689;30.87388611;33.12017069;1.627767311;1.648370604;2.146421743;0.694101489
15;16.10.2019 15:30;30.39866066;30.40076302;30.88096474;33.12611389;1.61974144;1.642912866;2.14218646;0.689742422
